,Year,Competition,Round,Rank,Name,Result
97,2025,IFSC World Cup Bali,Q,36,Victor Baudrand,36.47  16+ (30)R1 30+ (33)R2
98,2025,IFSC World Cup Bali,Q,36,Darius Râpă,36.47  16+ (30)R1 30+ (33)R2
99,2025,IFSC World Cup Bali,Q,38,Auswin Aueareechit,39.47  16+ (30)R1 29+ (38)R2
100,2025,IFSC World Cup Bali,Q,38,Sergey Lakhno,39.47  16+ (30)R1 29+ (38)R2
101,2025,IFSC World Cup Bali,Q,38,Declan Osgood,39.47  16+ (30)R1 29+ (38)R2
102,2025,IFSC World Cup Bali,Q,38,Giorgio Tomatis,39.47  16+ (30)R1 29+ (38)R2
103,2025,IFSC World Cup Bali,Q,42,Ravianto Ramadhan,39.76  13+ (51)R1 31+ (30)R2
104,2025,IFSC World Cup Bali,Q,43,Lukas Mokrolusky,41.41  15+ (48)R1 30+ (33)R2
105,2025,IFSC World Cup Bali,Q,43,Stefan Scherz,41.41  15+ (48)R1 30+ (33)R2
106,2025,IFSC World Cup Bali,Q,43,Lovro Črep,41.41  15+ (48)R1 30+ (33)R2
107,2025,IFSC World Cup Bali,Q,46,James Jenkins,42.49  16+ (30)R1 28+ (46)R2
108,2025,IFSC World Cup Bali,Q,46,Dohyeon Kim,42.49  16+ (30)R1 28+ (46)R2
109,2025,IFSC World Cup Bali,Q,46,Simon Potucek,42.49  16+ (30)R1 28+ (46)R2
110,2025,IFSC World Cup Bali,Q,49,Felipe Ho Foganholo,44.02  16+ (30)R1 24+ (51)R2
111,2025,IFSC World Cup Bali,Q,50,Luke Goh Wen Bin,44.67  16+ (30)R1 21+ (52)R2
112,2025,IFSC World Cup Bali,Q,51,Cheung-Chi Shoji Chan,45.99  16 (47)R1 29 (45)R2
113,2025,IFSC World Cup Bali,Q,52,Ian Tan,50.99  10+ (52)R1 25+ (50)R2
114,2025,IFSC World Cup Bali,Q,53,Muhammad Ramzi Firmansyah,53.0  9+ (53)R1 21+ (52)R2
